droplet,t,x,x_rec,x_adv
1,7.2,5.858092428496366,4.020332717190389,7.647874306839187
1,7.205,5.87307259988756,4.043438077634011,7.647874306839187
1,7.21,5.88873071101868,4.043438077634011,7.67097966728281
1,7.215,5.903499403792351,4.066543438077634,7.694085027726433
1,7.22,5.9185604127325995,4.0896487985212575,7.694085027726433
1,7.225,5.934540157959577,4.0896487985212575,7.717190388170056
1,7.23,5.949928401208272,4.11275415896488,7.740295748613678
1,7.235,5.964898719045775,4.135859519408503,7.740295748613678
1,7.24,5.981278077390064,4.135859519408503,7.763401109057302
1,7.245,5.996329992479438,4.1589648798521255,7.7865064695009245
1,7.25,6.010631547653215,4.182070240295749,7.7865064695009245
1,7.255,6.027571496002277,4.182070240295749,7.809611829944547
1,7.26,6.04321067715057,4.205175600739372,7.832717190388171
1,7.265,6.0575229223402,4.228280961182994,7.832717190388171
1,7.27,6.074923304601073,4.228280961182994,7.855822550831793
1,7.275,6.090595617104031,4.251386321626618,7.878927911275416
1,7.28,6.105024688831173,4.2744916820702406,7.878927911275416
1,7.285,6.12337742192422,4.297597042513863,7.90203327171904
1,7.29,6.14048690877816,4.320702402957487,7.925138632162662
1,7.295,6.156219345069458,4.320702402957487,7.925138632162662
1,7.3,6.172930105537372,4.343807763401109,7.948243992606285
1,7.305,6.191237968027416,4.366913123844732,7.9713493530499075
1,7.31,6.208350315563466,4.390018484288355,7.994454713493531
1,7.315,6.225456456810426,4.390018484288355,7.994454713493531
1,7.32,6.242078833543016,4.413123844731978,8.017560073937155
1,7.325,6.260729054135442,4.436229205175601,8.040665434380777
1,7.33,6.277693333370692,4.459334565619224,8.0637707948244
1,7.335,6.295078253895744,4.482439926062847,8.0637707948244
1,7.34,6.3109121386621725,4.482439926062847,8.086876155268023
1,7.345,6.330044685186176,4.50554528650647,8.109981515711645
1,7.35,6.347412440715458,4.5286506469500925,8.133086876155268
1,7.355,6.364505143069444,4.551756007393715,8.133086876155268
1,7.36,6.380061877825687,4.551756007393715,8.15619223659889
1,7.365,6.398350378306522,4.574861367837339,8.179297597042515
1,7.37,6.4150551600943615,4.597966728280961,8.202402957486138
1,7.375,6.428787245273452,4.597966728280961,8.202402957486138
1,7.38,6.446545596532149,4.621072088724584,8.22550831792976
